region_id,name,country_id
4312,Москва и Московская обл.,3159
4925,Санкт-Петербург и область,3159
1998532,Адыгея,3159
3160,Алтайский край,3159
3223,Амурская обл.,3159
3251,Архангельская обл.,3159
3282,Астраханская обл.,3159
3296,Башкортостан (Башкирия),3159
3352,Белгородская обл.,3159
3371,Брянская обл.,3159
3407,Бурятия,3159
3437,Владимирская обл.,3159
3468,Волгоградская обл.,3159
3503,Вологодская обл.,3159
3529,Воронежская обл.,3159
3630,Дагестан,3159
3673,Еврейская обл.,3159
3675,Ивановская обл.,3159
3703,Иркутская обл.,3159
3751,Кабардино-Балкария,3159
3761,Калининградская обл.,3159
3827,Калмыкия,3159
3841,Калужская обл.,3159
3872,Камчатская обл.,3159
3892,Карелия,3159
3921,Кемеровская обл.,3159
3952,Кировская обл.,3159
3994,Коми,3159
4026,Костромская обл.,3159
4052,Краснодарский край,3159
4105,Красноярский край,3159
4176,Курганская обл.,3159
4198,Курская обл.,3159
4227,Липецкая обл.,3159
4243,Магаданская обл.,3159
4270,Марий Эл,3159
4287,Мордовия,3159
4481,Мурманская обл.,3159
3563,Нижегородская (Горьковская),3159
4503,Новгородская обл.,3159
4528,Новосибирская обл.,3159
4561,Омская обл.,3159
4593,Оренбургская обл.,3159
4633,Орловская обл.,3159
4657,Пензенская обл.,3159
4689,Пермская обл.,3159
4734,Приморский край,3159
4773,Псковская обл.,3159
4800,Ростовская обл.,3159
4861,Рязанская обл.,3159
4891,Самарская обл.,3159
4969,Саратовская обл.,3159
5011,Саха (Якутия),3159
5052,Сахалин,3159
5080,Свердловская обл.,3159
5151,Северная Осетия,3159
5161,Смоленская обл.,3159
5191,Ставропольский край,3159
5225,Тамбовская обл.,3159
5246,Татарстан,3159
3784,Тверская обл.,3159
5291,Томская обл.,3159
5312,Тува (Тувинская Респ.),3159
5326,Тульская обл.,3159
5356,Тюменская обл.,3159
5404,Удмуртия,3159
5432,Ульяновская обл.,3159
5458,Уральская обл.,3159
5473,Хабаровский край,3159
2316497,Хакасия,3159
2499002,Ханты-Мансийский АО,3159
5507,Челябинская обл.,3159
5543,Чечено-Ингушетия,3159
5555,Читинская обл.,3159
5600,Чувашия,3159
2415585,Чукотский АО,3159
5019394,Ямало-Ненецкий АО,3159
5625,Ярославская обл.,3159
5,Виктория,4
16,Западная Австралия,4
23,Кинсленд,4
35,Новый Южный Уэльс,4
51,Северная Территория,4
54,Тасмания,4
58,Территория Федеральной столицы,4
60,Южная Австралия,4
277659,Австрия,63
64,Вена,63
66,Верхняя Австрия,63
70,Зальцбург,63
72,Каринтия,63
75,Нижняя Австрия,63
77,Штирия,63
82,Азербайджан,81
164,Нагорный Карабах,81
167,Нахичеванская обл.,81
174,Anguilla,173
178,Буэнос-Айрес,177
194,Жужуй,177
196,Катамарка,177
198,Кордоба,177
204,Корриентес,177
207,Ла-Пампа,177
210,Ла-Риоха,177
212,Мендоса,177
215,Мисьонес,177
217,Неукен,177
219,Сальта,177
221,Сан-Луис,177
223,Сан-Хуан,177
225,Санта-Крус,177
227,Санта-Фе,177
230,Сантьяго-дель-Эстеро,177
232,Тукуман,177
234,Формоса,177
236,Чако,177
239,Чубут,177
241,Энтре-Риос,177
277654,Армения,245
246,Ереванская область,245
7716133,Арулько,7716093
249,Брестская обл.,248
272,Витебская обл.,248
304,Гомельская обл.,248
330,Гродненская обл.,248
349,Минская обл.,248
377,Могилевская обл.,248
402,Belize,401
405,Антверпен,404
277662,Бельгия,404
408,Брюссель,404
410,Восточная Фландрия,404
413,Западная Фландрия,404
417,Лимбург,404
419,Льеж,404
422,Эно,404
426,Hamilton,425
277660,Болгария,428
429,Бургас,428
431,Варна,428
433,Великотырново,428
436,Видин,428
438,Габрово,428
440,Пазарджик,428
442,Перник,428
444,Плевен,428
446,Пловдив,428
449,Русе,428
451,Силистра,428
453,Сливен,428
455,София град,428
457,Стара Загора,428
460,Хасково,428
463,Шумен,428
465,Ямбол,428
468,Акри,467
470,Алагоас,467
473,Амазонас,467
475,Амапа,467
477,Баия,467
490,Гояс,467
493,Мараньян,467
497,Мату-Гросу,467
